french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;mystiric;cleansing;condition;vitesse_tracage
Pêche, huile;Prunus Persica;Peach Kernel Oil;PRUNUS PERSICA KERNEL OIL;191;8;93;0;6;2;0;65;25;1;0.136;0.191;0;8;98;0;0;91;3.116288
Pépins de raisin, huile;Vitis Vinifera;Grapeseed Oil;VITIS VINIFERA SEED OIL;192;12;56;0;8;4;0;20;68;0;0.129;0.192;0;12;136;0;0;88;2.6783232
Périlla (graines), huile;Perilla Ocymoides;Perilla Seed Oil;PERILLA OCYMOIDES SEED OIL;190;8;-6;0;6;2;0;15;16;56;0.135;0.19;0;8;196;0;0;87;1.937152
Pistache, huile;Pistacia vera;Pistachio Oil;PISTACIA VERA SEED OIL;192;12;95;0;11;1;0;63;25;0;0.133;0.192;0;12;97;0;0;88;3.2468352
Porc, suif;Adeps Suillus;Lard Pig Tallow;ADEPS SUILLUS;198;42;139;0;28;13;0;46;6;0;0.141;0.198;1;41;57;1;1;52;3.6974336
Poulet, graisse;Adeps Gallinaceus;Chicken Fat ;;195;33;114;0;25;7;0;38;21;0;0.139;0.195;1;32;81;1;1;59;3.3394816
Pracaxi, huile;Pentaclethra Macroloba;Pracaxi Seed Oil ;PENTACLETHRA MACROLOBA SEED OIL;177;6;120;1;2;2;0;44;2;2;0.125;0.177;2;4;57;1;2;83;1.8571392
Prune, huile;Prunus Domestica;Plum Kernel Oil;PRUNUS DOMESTICA SEED OIL;194;3;96;0;3;0;0;68;23;0;0.138;0.194;0;3;98;0;0;91;2.926784
Ricin, huile;Ricinus Communis;Castor Oil;RICINUS COMMUNIS SEED OIL;182;0;96;0;0;0;90;4;4;0;0.128;0.182;90;90;86;0;0;98;3.6300544
Sapote, huile;Pouteria;Sapote Seed Oil (Aceite de Sapuyul or Mamey);POUTERIA SAPOTA SEED OIL;188;30;116;0;9;21;0;52;13;0;0.134;0.188;0;30;72;0;0;65;3.3647488
Saumon, huile;Salmon Oil;Salmon Oil;SALMON OIL;185;28;69;0;19;2;0;23;2;1;0.132;0.185;0;3;106;5;0;72;2.168768
Sésame, huile ;Sesamum Indicum;Sesam Oil ;SESAMUM INDICUM SEED OIL;191;15;83;0;10;5;0;40;43;0;0.134;0.191;0;15;108;0;0;83;2.968896
Soja, huile;Glycine Soja;Soybean Oil;GLYCINE SOJA OIL;192;16;60;0;11;5;0;24;50;8;0.136;0.191;0;16;132;0;0;82;2.7288576
Son de Riz, huile ;Oryza Sativa;Rice Bran Oil ;ORYZA SATIVA GERM OIL;193;26;90;0;22;3;0;38;34;2;0.133;0.193;1;25;103;1;1;74;3.3184256
Tournesol (haute teneur oléique), huile;Helianthus Annuus;Sunflower Oil high oleic;HELIANTHUS ANNUUS SEED OIL;190;7;109;0;3;4;0;83;4;1;0.135;0.19;0;7;81;0;0;88;3.2131456
Tournesol, huile ;Helianthus Annuus;sunflower Oil;HELIANTHUS ANNUUS SEED OIL;191;11;58;0;7;4;0;16;70;1;0.135;0.191;0;11;133;0;0;87;2.547776
Tucuma (graines), beurre;Astrocaryum Tucuma;Tucuma Seed Butter;ASTROCARYUM TUCUMA SEED BUTTER;238;77;175;48;6;0;0;13;0;0;0.17;0.238;71;6;13;23;71;13;5.1292416
Ucuuba, beurre ;Virola Sebifera;Ucuuba Butter ;VIROLA SEBIFERA NUT OIL;205;31;167;0;0;31;0;44;5;0;0.146;0.205;0;31;38;0;0;49;2.8930944
Vison, huile;Mustela;Mink Oil ;MINK OIL;196;0;141;0;0;0;0;0;0;0;0.14;0.196;0;0;55;0;0;0;0
Yangu (Chataîgner du Cap), huile ;Calodendrum capense;Yangu Cap Chestnut;CALODENDRUM CAPENSE NUT OIL;192;23;97;0;18;5;0;45;30;1;0.137;0.192;0;23;95;0;0;76;3.2805248
