french_name;latin_name;english_name;INCI_name;IS;hardness;INS;lauric;palmitic;stearic;ricinoleic;oleic;Linoleic;linolenic;NaOH_SAP;KOH_SAP;bubbly;creamy;iodine;myristic;cleansing;condition;vitesse_tracage
Huile de Rose musquée;Rosa Canina;Rosehip Oil;ROSA CANINA SEED OIL;;6;10;0;4;2;0;12;46;31;0.133;0.187;0;6;188;0;0;89;
Huile de Cacahuète des Incas;Plukenetia Volubilis;Sacha Inchi, Plukenetia Volubilis;PLUKENETIA VOLUBILIS SEED OIL;;7;47;0;4;3;0;10;35;48;0.134;0.188;0;7;141;0;0;93;
Huile de Carthame;Carthamus Tinctorius;Safflower Oil;CARTHAMUS TINCTORIUS SEED OIL;192;7;47;0;7;0;0;15;75;0;0.137;0.192;0;7;145;0;0;90;
Huile de Carthame haute teneur en acide oléique ;Carthamus Tinctorius;Safflower Oil, High Oleic;CARTHAMUS TINCTORIUS SEED OIL;;7;97;0;5;2;0;77;15;0;0.135;0.19;0;7;93;0;0;92;
Beurre Salé;Shorea Robusta;Sal Butter;SHOREA ROBUSTA SEED BUTTER;183;50;146;0;6;44;0;40;2;0;0.132;0.185;0;50;39;0;0;42;
Huile de Saumon;Salmon Oil;Salmon Oil;SALMON OIL;;28;69;0;19;2;0;23;2;1;0.132;0.185;0;3;106;5;0;72;
Extrait de Palmier nain;Serenoa Serrulata;Saw Palmetto Extract ;SERENOA SERRULATA FRUIT EXTRACT;;50;185;29;8;2;0;35;4;1;0.164;0.23;40;10;45;11;40;40;
Huile de Palmier nain;Serenoa Serrulata;Saw Palmetto Oil;SERENOA SERRULATA FRUIT OIL;;53;176;29;9;2;0;31;4;1;0.157;0.22;24;11;44;13;42;36;
Huile de graines d'Argousier ;Hippophae Rhamnoides;Sea Buckthorn Oil ;HIPPOPHAE RHAMNOIDES SEED OIL;163;10;30;0;7;3;0;14;36;38;0.139;0.195;0;10;165;0;0;88;
Huile de graines et de baies d'Argousier;Hippophae Rhamnoides;Sea Buckthorn Oil, Seed and Berry ;HIPPOPHAE RHAMNOIDES FRUIT OIL;;31;97;0;30;1;0;28;10;0;0.13;0.183;0;31;86;0;0;38;
Huile de Sésame ;Sesamum Indicum;Sesam Oil ;SESAMUM INDICUM SEED OIL;188;15;81;0;10;5;0;40;43;0;0.134;0.188;0;15;110;0;0;83;
